service_fault,case_id,true_service,fault_type,n_incidents,detected,delay_seconds,normal_fp_rate
adservice_cpu,1,adservice,cpu,27,True,18,0.066
adservice_cpu,2,adservice,cpu,24,False,180,0.068
adservice_cpu,3,adservice,cpu,16,True,34,0.079
adservice_cpu,4,adservice,cpu,23,True,8,0.09
adservice_cpu,5,adservice,cpu,21,True,-22,0.093
adservice_delay,1,adservice,delay,5,True,-96,0.039
adservice_delay,2,adservice,delay,6,True,8,0.036
adservice_delay,3,adservice,delay,2,True,87,0.044
adservice_delay,4,adservice,delay,4,True,86,0.033
adservice_delay,5,adservice,delay,3,True,-178,0.031
adservice_disk,1,adservice,disk,5,True,-100,0.058
adservice_disk,2,adservice,disk,6,True,30,0.044
adservice_disk,3,adservice,disk,5,True,81,0.056
adservice_disk,4,adservice,disk,5,True,-13,0.025
adservice_disk,5,adservice,disk,7,True,-21,0.044
adservice_loss,1,adservice,loss,5,True,9,0.044
adservice_loss,2,adservice,loss,4,True,-50,0.031
adservice_loss,3,adservice,loss,6,True,-32,0.019
adservice_loss,4,adservice,loss,3,True,-56,0.042
adservice_loss,5,adservice,loss,4,True,-72,0.036
adservice_mem,1,adservice,mem,23,True,16,0.086
adservice_mem,2,adservice,mem,26,True,16,0.093
adservice_mem,3,adservice,mem,21,True,-89,0.085
adservice_mem,4,adservice,mem,21,True,12,0.087
adservice_mem,5,adservice,mem,19,True,-146,0.08
cartservice_cpu,1,cartservice,cpu,21,True,10,0.09
cartservice_cpu,2,cartservice,cpu,23,True,-62,0.089
cartservice_cpu,3,cartservice,cpu,22,True,-99,0.093
cartservice_cpu,4,cartservice,cpu,21,True,-42,0.091
cartservice_cpu,5,cartservice,cpu,25,True,-76,0.09
cartservice_delay,1,cartservice,delay,6,True,-29,0.036
cartservice_delay,2,cartservice,delay,5,True,-2,0.058
cartservice_delay,3,cartservice,delay,5,True,-12,0.05
cartservice_delay,4,cartservice,delay,3,True,-34,0.061
cartservice_delay,5,cartservice,delay,5,True,-101,0.067
cartservice_disk,1,cartservice,disk,4,True,47,0.075
cartservice_disk,2,cartservice,disk,4,True,-17,0.056
cartservice_disk,3,cartservice,disk,3,False,141,0.081
cartservice_disk,4,cartservice,disk,4,True,10,0.017
cartservice_disk,5,cartservice,disk,5,True,-76,0.067
cartservice_loss,1,cartservice,loss,6,True,17,0.061
cartservice_loss,2,cartservice,loss,3,False,121,0.011
cartservice_loss,3,cartservice,loss,4,True,-26,0.017
cartservice_loss,4,cartservice,loss,5,True,8,0.033
cartservice_loss,5,cartservice,loss,4,True,-18,0.008
cartservice_mem,1,cartservice,mem,26,True,-23,0.08
cartservice_mem,2,cartservice,mem,21,True,20,0.094
cartservice_mem,3,cartservice,mem,26,True,-4,0.084
cartservice_mem,4,cartservice,mem,27,True,30,0.087
cartservice_mem,5,cartservice,mem,27,True,-2,0.087
checkoutservice_cpu,1,checkoutservice,cpu,25,True,-37,0.084
checkoutservice_cpu,2,checkoutservice,cpu,21,True,90,0.077
checkoutservice_cpu,3,checkoutservice,cpu,29,True,-18,0.087
checkoutservice_cpu,4,checkoutservice,cpu,13,True,117,0.061
checkoutservice_cpu,5,checkoutservice,cpu,24,True,-56,0.065
checkoutservice_delay,1,checkoutservice,delay,3,True,-108,0.05
checkoutservice_delay,2,checkoutservice,delay,3,True,-5,0.056
