case,true_service,true_fault,no_retrieval_pred,no_retrieval_ac1,no_retrieval_ac3,no_retrieval_avg5,no_retrieval_faith,vector_pred,vector_ac1,vector_ac3,vector_avg5,vector_faith,vectorless_pred,vectorless_ac1,vectorless_ac3,vectorless_avg5,vectorless_faith
adservice_cpu/5,adservice,cpu,adservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,cartservice,0.0,0.0,0.0,1.0
adservice_delay/4,adservice,delay,cartservice,0.0,0.0,0.0,,cartservice,0.0,0.0,0.0,0.3333333333333333,cartservice,0.0,0.0,0.0,1.0
adservice_disk/3,adservice,disk,cartservice,0.0,0.0,0.0,,adservice,1.0,1.0,1.0,0.3333333333333333,productcatalogservice,0.0,1.0,0.8,1.0
adservice_loss/3,adservice,loss,adservice,1.0,1.0,1.0,,adservice,1.0,1.0,1.0,1.0,cartservice,0.0,0.0,0.0,1.0
adservice_mem/1,adservice,mem,adservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,checkoutservice,0.0,1.0,0.6,1.0
cartservice_cpu/5,cartservice,cpu,cartservice,1.0,1.0,1.0,,cartservice,1.0,1.0,1.0,0.6666666666666666,cartservice,1.0,1.0,1.0,1.0
cartservice_delay/1,cartservice,delay,cartservice,1.0,1.0,1.0,,cartservice,1.0,1.0,1.0,0.0,cartservice,1.0,1.0,1.0,1.0
cartservice_disk/2,cartservice,disk,cartservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,cartservice,1.0,1.0,1.0,1.0
cartservice_loss/2,cartservice,loss,cartservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,cartservice,1.0,1.0,1.0,1.0
cartservice_mem/4,cartservice,mem,shippingservice,0.0,1.0,0.8,,unknown,0.0,0.0,0.0,,cartservice,1.0,1.0,1.0,1.0
checkoutservice_cpu/3,checkoutservice,cpu,recommendationservice,0.0,1.0,0.8,,recommendationservice,0.0,1.0,0.8,0.0,productcatalogservice,0.0,0.0,0.0,1.0
checkoutservice_delay/2,checkoutservice,delay,cartservice,0.0,0.0,0.0,,checkoutservice,1.0,1.0,1.0,0.6666666666666666,unknown,0.0,0.0,0.0,
checkoutservice_disk/4,checkoutservice,disk,unknown,0.0,0.0,0.0,,checkoutservice,1.0,1.0,1.0,0.3333333333333333,checkoutservice,1.0,1.0,1.0,1.0
checkoutservice_loss/2,checkoutservice,loss,emailservice,0.0,1.0,0.8,,emailservice,0.0,1.0,0.8,0.0,cartservice,0.0,0.0,0.0,1.0
checkoutservice_mem/1,checkoutservice,mem,checkoutservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,unknown,0.0,0.0,0.0,
currencyservice_cpu/5,currencyservice,cpu,currencyservice,1.0,1.0,1.0,,currencyservice,1.0,1.0,1.0,1.0,currencyservice,1.0,1.0,1.0,1.0
currencyservice_delay/4,currencyservice,delay,cartservice,0.0,0.0,0.0,,cartservice,0.0,0.0,0.0,1.0,cartservice,0.0,0.0,0.0,1.0
currencyservice_disk/1,currencyservice,disk,currencyservice,1.0,1.0,1.0,,currencyservice,1.0,1.0,1.0,1.0,currencyservice,1.0,1.0,1.0,1.0
currencyservice_loss/1,currencyservice,loss,cartservice,0.0,0.0,0.0,,cartservice,0.0,1.0,0.6,0.3333333333333333,cartservice,0.0,0.0,0.0,1.0
currencyservice_mem/1,currencyservice,mem,unknown,0.0,0.0,0.0,,currencyservice,1.0,1.0,1.0,1.0,currencyservice,1.0,1.0,1.0,1.0
productcatalogservice_cpu/2,productcatalogservice,cpu,cartservice,0.0,1.0,0.8,,productcatalogservice,1.0,1.0,1.0,0.6666666666666666,cartservice,0.0,1.0,0.8,1.0
productcatalogservice_delay/5,productcatalogservice,delay,productcatalogservice,1.0,1.0,1.0,,productcatalogservice,1.0,1.0,1.0,1.0,productcatalogservice,1.0,1.0,1.0,1.0
productcatalogservice_disk/1,productcatalogservice,disk,cartservice,0.0,1.0,0.8,,unknown,0.0,0.0,0.0,,productcatalogservice,1.0,1.0,1.0,1.0
productcatalogservice_loss/1,productcatalogservice,loss,cartservice,0.0,0.0,0.0,,checkoutservice,0.0,0.0,0.0,0.5,unknown,0.0,0.0,0.0,
productcatalogservice_mem/5,productcatalogservice,mem,productcatalogservice,1.0,1.0,1.0,,unknown,0.0,0.0,0.0,,productcatalogservice,1.0,1.0,1.0,1.0
